X,Y,OBJECTID,TRAILSYSID,SITENAME,SITEADDR,TOWNNO,PARKING,TRAILRPKNG,RESTROOM,FOOD,WATER,OPENWHEN,PARKINGNUM
862517.577999994,681507.715000004,153,214,Cutler Farms Rd.,Cutler Farms Rd.,85,Parking Lot,False,False,False,False,Year-round,25
861888.005999997,687613.386000007,154,214,Pepper St.,Pepper St.,85,Roadside Parking,False,False,False,False,Year-round,3
1008921.15800001,773425.532000005,155,215,Cucia Park,Smith St.,83,Parking Lot,False,False,False,False,Year-round,20
1007894.01899999,776741.847000003,156,215,Middle St.,Middle St.,83,Non Parking,False,False,False,False,Year-round,0
1013366.671,778266.861000001,157,83,Westlake Dr.,Westlake Dr.,83,Non Parking,False,False,False,False,Year-round,0
1015962.18099999,778281.263999999,158,215,Tuttle Rd.,Tuttle Rd.,83,Non Parking,False,False,False,False,Year-round,0
1235004.177,850916.118000001,159,204,,,69,Parking Lot,False,False,False,False,Year-round,8
1235614.051,854087.273000002,160,204,St. James School,Water St.,69,Parking Lot,False,False,False,False,Year-round,20
1237328.96699999,821765.635000005,161,77,Rt. 14 / Main Street,Rt. 14 / Main Street,109,Parking Lot,False,False,False,False,Year-round,15
1240601.426,823243.732999995,162,77,Barber Hill Rd.,Barber Hill Rd.,109,Non Parking,False,False,False,False,Year-round,0
1242651.45999999,823125.136999995,163,77,Brunswick Ave.,Brunswick Ave.,109,Roadside Parking,False,False,False,False,Year-round,2
1226967.42299999,828980.931999996,164,207,Quinnebaug Hatchery,Trout Hatchery Road,109,Parking Lot,False,False,False,False,Year-round,20
1226940.94400001,829354.785999998,165,207,Quinnebaug Hatchery,Trout Hatchery Road,109,Roadside Parking,False,False,False,False,Year-round,2
1237800.62,822144.780000001,166,77,River St.,River St.,109,Non Parking,False,False,False,False,Year-round,0
1251039.44400001,820578.268999994,167,77,Robert Jordan Community Center,Main St.,136,Parking Lot,False,False,False,False,Year-round,25
